,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,8,7,1,.875,9.37,-2.03,,0,0,,4,0,,0,1,,592,446,,320,207,470,.440,60,170,.353,118,193,.611,88,277,117,88,19,122,158
2,Air Force,6,3,3,.500,-13.29,-6.46,,1,1,,1,0,,1,2,,348,389,,240,117,271,.432,42,120,.350,72,99,.727,24,157,74,45,8,91,99
3,Akron,3,2,1,.667,0.89,7.89,,0,0,,2,0,,0,0,,264,213,,120,94,200,.470,26,94,.277,50,59,.847,40,129,46,21,6,35,50
4,Alabama A&M,2,2,0,1.000,-4.02,-6.52,,0,0,,1,0,,1,0,,171,166,,90,63,126,.500,15,54,.278,30,43,.698,19,85,40,14,10,40,46
5,Alabama-Birmingham,8,7,1,.875,12.83,-10.60,,0,0,,6,1,,1,0,,641,452,,320,232,485,.478,40,135,.296,137,195,.703,80,325,73,75,43,92,145
6,Alabama State,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
7,Alabama,7,4,3,.571,10.15,6.15,,0,0,,2,1,,0,0,,529,501,,280,181,445,.407,61,208,.293,106,150,.707,92,282,86,57,21,93,117
8,Albany (NY),2,0,2,.000,1.21,4.21,,0,2,,0,2,,0,0,,124,130,,80,44,124,.355,12,41,.293,24,32,.750,14,57,23,10,4,20,41
9,Alcorn State,2,0,2,.000,-24.10,16.91,,0,0,,0,0,,0,2,,105,187,,80,36,110,.327,8,35,.229,25,39,.641,26,67,7,7,0,40,49
10,American,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
11,Appalachian State,8,6,2,.750,-0.29,4.46,,0,0,,4,1,,2,1,,606,443,,325,205,467,.439,60,195,.308,136,170,.800,101,345,104,65,41,114,104
12,Arizona State,7,4,3,.571,4.89,4.32,,1,0,,1,2,,2,0,,540,536,,280,186,414,.449,55,167,.329,113,163,.693,46,218,82,51,28,81,143
13,Arizona,6,5,1,.833,9.19,-6.64,,0,1,,5,0,,0,1,,469,374,,240,157,339,.463,48,122,.393,107,150,.713,77,249,93,42,31,86,122
14,Little Rock,6,4,2,.667,0.84,-0.36,,0,0,,2,0,,0,0,,456,422,,240,165,333,.495,34,102,.333,92,130,.708,64,209,95,44,17,99,99
15,Arkansas-Pine Bluff,8,1,7,.125,-20.41,7.59,,0,0,,0,0,,1,7,,468,692,,320,155,442,.351,42,138,.304,116,160,.725,76,254,64,46,27,129,144
16,Arkansas State,7,3,4,.429,-16.37,-3.37,,0,0,,3,1,,0,3,,531,465,,280,191,403,.474,43,111,.387,106,166,.639,74,269,99,57,24,91,105
17,Arkansas,7,7,0,1.000,22.20,-8.38,,0,0,,7,0,,0,0,,635,421,,280,231,489,.472,71,204,.348,102,143,.713,102,334,121,58,46,81,106
18,Army,5,4,1,.800,8.81,3.06,,0,0,,2,0,,0,0,,382,298,,200,145,293,.495,49,135,.363,43,69,.623,36,196,96,30,14,69,77
19,Auburn,7,5,2,.714,9.15,3.58,,0,0,,3,0,,0,1,,539,500,,285,184,413,.446,66,209,.316,105,172,.610,94,283,104,49,35,119,124
20,Austin Peay,7,4,3,.571,-8.91,-1.51,,0,1,,2,1,,0,1,,522,481,,280,194,424,.458,45,140,.321,89,123,.724,92,243,89,53,17,117,123
21,Ball State,6,3,3,.500,-1.74,-1.24,,1,0,,2,0,,1,3,,424,427,,245,145,354,.410,39,138,.283,95,146,.651,63,218,62,40,14,74,113
22,Baylor,5,5,0,1.000,27.31,-0.49,,1,0,,1,0,,1,0,,463,324,,200,171,328,.521,59,126,.468,62,93,.667,75,198,104,45,16,65,81
23,Bellarmine,3,1,2,.333,-6.82,-3.48,,0,0,,0,1,,1,1,,206,216,,120,78,164,.476,16,41,.390,34,50,.680,25,96,49,15,2,42,44
24,Belmont,8,7,1,.875,-5.71,-16.42,,2,0,,2,1,,2,0,,640,553,,320,224,472,.475,70,211,.332,122,170,.718,71,298,118,57,20,109,129
25,Binghamton,5,0,5,.000,-18.95,-9.95,,0,2,,0,4,,0,1,,319,364,,210,120,292,.411,44,131,.336,35,65,.538,52,183,62,24,18,79,84
26,Boise State,5,4,1,.800,15.23,6.23,,0,0,,2,0,,1,1,,374,301,,200,130,304,.428,35,111,.315,79,116,.681,53,194,67,41,11,60,89
27,Boston College,6,1,5,.167,1.82,13.66,,0,1,,0,1,,0,1,,442,513,,245,154,354,.435,54,166,.325,80,124,.645,45,196,73,43,23,93,113
28,Boston University,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
29,Bowling Green State,7,5,2,.714,5.09,1.59,,1,0,,3,1,,2,1,,587,545,,285,201,452,.445,63,164,.384,122,157,.777,78,255,92,58,10,83,124
30,Bradley,8,6,2,.750,3.92,-1.91,,0,0,,4,1,,0,1,,621,480,,320,229,498,.460,63,186,.339,100,140,.714,107,354,131,58,41,100,123
31,Brigham Young,9,7,2,.778,10.70,3.95,,0,0,,4,1,,2,0,,694,591,,360,255,540,.472,87,237,.367,97,140,.693,91,359,156,38,25,137,166
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
33,Bryant,8,6,2,.750,-1.05,-8.33,,3,1,,4,0,,2,2,,743,637,,320,249,515,.483,85,200,.425,160,211,.758,77,322,137,62,35,113,131
34,Bucknell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
35,Buffalo,6,3,3,.500,6.99,4.19,,1,1,,1,0,,1,2,,493,462,,245,189,397,.476,40,121,.331,75,115,.652,75,260,94,43,26,85,129
36,Butler,3,1,2,.333,1.68,9.34,,0,1,,1,0,,0,1,,192,215,,120,67,158,.424,21,54,.389,37,62,.597,22,95,29,9,8,35,57
37,Cal Poly,6,2,4,.333,-21.21,-8.41,,0,0,,2,3,,0,1,,417,427,,240,147,349,.421,37,118,.314,86,121,.711,54,217,83,41,26,85,104
38,Cal State Bakersfield,5,3,2,.600,-13.53,-6.53,,0,0,,3,0,,0,2,,364,293,,200,134,286,.469,25,69,.362,71,102,.696,66,192,70,44,18,74,92
39,Cal State Fullerton,1,1,0,1.000,,,,0,0,,1,0,,0,0,,94,70,,40,37,67,.552,11,25,.440,9,11,.818,7,32,22,7,4,12,11
40,Cal State Northridge,6,3,3,.500,-9.51,-3.31,,0,0,,1,1,,1,1,,450,463,,240,160,375,.427,51,151,.338,79,110,.718,66,207,86,41,9,75,122
41,California Baptist,5,3,2,.600,-0.86,-3.52,,0,0,,3,1,,0,1,,453,360,,205,158,328,.482,64,164,.390,73,97,.753,70,215,102,27,10,69,117
42,UC-Davis,4,2,2,.500,-14.60,-13.93,,0,0,,1,0,,0,1,,321,290,,160,109,222,.491,24,77,.312,79,96,.823,20,124,55,33,12,56,87
43,UC-Irvine,7,3,4,.429,-3.63,4.17,,0,0,,3,0,,0,3,,558,467,,280,221,457,.484,39,114,.342,77,106,.726,93,294,111,60,22,100,124
44,UC-Riverside,4,3,1,.750,0.19,-13.07,,0,0,,0,0,,2,1,,274,221,,160,103,221,.466,40,99,.404,28,45,.622,36,150,58,11,6,58,84
45,UC-San Diego,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
46,UC-Santa Barbara,5,4,1,.800,8.94,2.94,,0,0,,3,0,,1,1,,435,309,,200,163,301,.542,46,114,.404,63,93,.677,48,196,111,37,20,52,83
47,University of California,8,4,4,.500,-1.24,-0.67,,0,3,,3,1,,0,3,,548,527,,320,195,430,.453,58,179,.324,100,148,.676,63,282,107,50,15,118,137
48,Campbell,6,4,2,.667,-7.70,-3.20,,0,0,,1,0,,1,2,,472,426,,240,172,327,.526,40,122,.328,88,140,.629,41,182,91,46,14,78,112
49,Canisius,2,1,1,.500,-9.26,-11.76,,1,1,,1,1,,0,0,,133,128,,80,48,112,.429,15,50,.300,22,35,.629,15,60,28,12,6,25,34
50,Central Arkansas,6,0,6,.000,-3.91,12.42,,0,0,,0,0,,0,6,,410,508,,240,141,342,.412,41,114,.360,87,116,.750,58,221,78,30,9,121,112
51,Central Connecticut State,7,2,5,.286,-12.00,-4.71,,2,2,,1,1,,1,3,,526,577,,280,193,412,.468,52,142,.366,88,128,.688,47,211,101,49,19,101,129
52,Central Florida,3,2,1,.667,14.98,15.65,,0,0,,1,0,,1,1,,207,209,,120,69,171,.404,21,59,.356,48,56,.857,28,101,31,23,8,41,55
53,Central Michigan,8,4,4,.500,-10.12,-4.92,,0,1,,3,1,,1,3,,663,595,,320,238,521,.457,58,161,.360,129,192,.672,97,315,100,82,19,105,150
